%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1660199454525497530,0,1.881781816482544,-2.9687905311584473,0.056520115584135056,0.06657619029283524,-0.003743264125660062,0.011476099491119385,0.0,0.0
1660199454535562605,0,1.8818250894546509,-2.9687063694000244,0.056602127850055695,0.06388978660106659,-0.002880081068724394,0.010019585490226746,0.0,0.0
1660199454545513469,0,1.8815056085586548,-2.96867299079895,0.056452251970767975,0.06060697138309479,-0.002963938983157277,-0.0034853771794587374,0.0,0.0
1660199454555504824,0,1.8814845085144043,-2.9686410427093506,0.056486308574676514,0.05843900516629219,-0.0037464764900505543,-0.001838373253121972,0.0,0.0
1660199454565429049,0,1.881422519683838,-2.968623161315918,0.056563153862953186,0.05726686120033264,-0.0032615801319479942,-0.0015173933934420347,0.0,0.0
1660199454575511605,0,1.8813588619232178,-2.9685540199279785,0.056719258427619934,0.05526706948876381,-0.002981938421726227,0.012969879433512688,0.0,0.0
1660199454585349687,0,1.8812741041183472,-2.9685041904449463,0.056863147765398026,0.05354064330458641,-0.0030652896966785192,0.019839951768517494,0.0,0.0
1660199454595351218,0,1.8811920881271362,-2.9684879779815674,0.0568544901907444,0.05295621231198311,-0.002065960317850113,0.01565413363277912,0.0,0.0
1660199454605287113,0,1.8810861110687256,-2.968435049057007,0.05693211778998375,0.05134086310863495,-0.00216970918700099,0.012062004767358303,0.0,0.0
1660199454615525256,0,1.8810861110687256,-2.968435049057007,0.05693211778998375,0.05134086310863495,-0.00216970918700099,0.012062004767358303,0.0,0.0
1660199454625347961,0,1.8814888000488281,-2.968425750732422,0.05692698061466217,0.05116172134876251,-0.0019302277360111475,0.004223929718136787,0.0,0.0
1660199454635407513,0,1.8809787034988403,-2.968406915664673,0.05689192935824394,0.04976075515151024,-0.002299502957612276,0.0018957277061417699,0.0,0.0
1660199454645369922,0,1.880811333656311,-2.968341588973999,0.05714493244886398,0.049578506499528885,-0.0020300240721553564,0.011569431982934475,0.0,0.0
1660199454655404900,0,1.8806532621383667,-2.968370199203491,0.056878190487623215,0.04916897043585777,-0.0018591469852253795,-0.002573193982243538,0.0,0.0
1660199454665383556,0,1.8808094263076782,-2.9684042930603027,0.05671200901269913,0.049013834446668625,-0.002998676151037216,-0.00958975963294506,0.0,0.0
1660199454675430888,0,1.8803095817565918,-2.9683961868286133,0.05670609325170517,0.049184925854206085,-0.0024707093834877014,-0.021275006234645844,0.0,0.0
1660199454685405510,0,1.8801465034484863,-2.9684243202209473,0.05652954801917076,0.048912495374679565,-0.0025087229441851377,-0.019825631752610207,0.0,0.0
1660199454695400536,0,1.8799844980239868,-2.968456745147705,0.05639182776212692,0.04910827428102493,-0.003073345869779587,-0.017714759334921837,0.0,0.0
1660199454705378240,0,1.8798091411590576,-2.968473196029663,0.056203972548246384,0.05008596554398537,-0.0026301599573343992,-0.02618902176618576,0.0,0.0
1660199454715525970,0,1.8798091411590576,-2.968473196029663,0.056203972548246384,0.05008596554398537,-0.0026301599573343992,-0.02618902176618576,0.0,0.0
1660199454725445056,0,1.8801429271697998,-2.96854829788208,0.055999454110860825,0.05170249938964844,-0.003657558001577854,-0.028712540864944458,0.0,0.0
1660199454735396625,0,1.879960060119629,-2.9685776233673096,0.055714331567287445,0.052667733281850815,-0.003375489264726639,-0.03614707663655281,0.0,0.0
1660199454745420995,0,1.8797893524169922,-2.968653440475464,0.05522874742746353,0.05323111638426781,-0.003901485586538911,-0.05196721851825714,0.0,0.0
1660199454755413158,0,1.8796387910842896,-2.9687414169311523,0.05475690960884094,0.05385200306773186,-0.004587227012962103,-0.06599398702383041,0.0,0.0
1660199454765378475,0,1.8794864416122437,-2.9688057899475098,0.05465284362435341,0.05480898916721344,-0.004338215570896864,-0.057067882269620895,0.0,0.0
1660199454775388877,0,1.8793649673461914,-2.968878746032715,0.05442153662443161,0.055427201092243195,-0.005321570672094822,-0.04507708549499512,0.0,0.0
1660199454785266439,0,1.879571557044983,-2.9689481258392334,0.054313063621520996,0.057406507432460785,-0.005305316764861345,-0.026066100224852562,0.0,0.0
1660199454795335105,0,1.8791043758392334,-2.9690678119659424,0.05373109504580498,0.05692114308476448,-0.005956234410405159,-0.04865805059671402,0.0,0.0
1660199454805361332,0,1.879027009010315,-2.9691874980926514,0.053275156766176224,0.057600073516368866,-0.007130820769816637,-0.061152976006269455,0.0,0.0
1660199454815303974,0,1.879311203956604,-2.969224452972412,0.053281333297491074,0.059178877621889114,-0.0068564279936254025,-0.05441376566886902,0.0,0.0
1660199454825380272,0,1.879194974899292,-2.969329357147217,0.05323674529790878,0.060212962329387665,-0.0072729382663965225,-0.029384663328528404,0.0,0.0
1660199454835349760,0,1.8790920972824097,-2.9693470001220703,0.053630441427230835,0.06082216277718544,-0.007692782673984766,0.01565476320683956,0.0,0.0
1660199454845270126,0,1.8790401220321655,-2.969421863555908,0.05343036353588104,0.0616070032119751,-0.007609477266669273,0.0078004454262554646,0.0,0.0
1660199454855352021,0,1.878976821899414,-2.9694671630859375,0.053478632122278214,0.06211745738983154,-0.008210674859583378,0.012319489382207394,0.0,0.0
1660199454865400693,0,1.8789392709732056,-2.9695355892181396,0.05338073521852493,0.06296887248754501,-0.008374419063329697,-0.010544809512794018,0.0,0.0
1660199454875399617,0,1.8792403936386108,-2.969606399536133,0.05341295152902603,0.06375410407781601,-0.008375145494937897,-0.002157175447791815,0.0,0.0
1660199454885293160,0,1.8791918754577637,-2.969759225845337,0.052976157516241074,0.06364346295595169,-0.010005460120737553,-0.025868773460388184,0.0,0.0
1660199454895345813,0,1.8791357278823853,-2.969832181930542,0.05306467041373253,0.06452080607414246,-0.009870590642094612,-0.017073698341846466,0.0,0.0
1660199454905430881,0,1.8790972232818604,-2.9698827266693115,0.05317971110343933,0.06427965313196182,-0.010130489245057106,-0.01194666139781475,0.0,0.0
1660199454915437928,0,1.8790645599365234,-2.9699337482452393,0.053111881017684937,0.06397596746683121,-0.010955099016427994,0.004338952247053385,0.0,0.0
1660199454925420438,0,1.8790645599365234,-2.9699337482452393,0.053111881017684937,0.06397596746683121,-0.010955099016427994,0.004338952247053385,0.0,0.0
1660199454935482325,0,1.879688024520874,-2.970120668411255,0.05291498452425003,0.06561163812875748,-0.011217686347663403,-0.007242876570671797,0.0,0.0
1660199454945456018,0,1.878943920135498,-2.970172643661499,0.052571870386600494,0.0639469102025032,-0.01226874440908432,-0.030939457938075066,0.0,0.0
1660199454955544376,0,1.878922462463379,-2.9702515602111816,0.05257856100797653,0.0635610967874527,-0.012404803186655045,-0.02820112183690071,0.0,0.0
1660199454965352750,0,1.8788925409317017,-2.970337152481079,0.05260762199759483,0.06265795975923538,-0.01316069532185793,-0.01723899506032467,0.0,0.0
1660199454975364913,0,1.8788559436798096,-2.970411539077759,0.052742041647434235,0.062438469380140305,-0.013580350205302238,0.006718616932630539,0.0,0.0
1660199454985578872,0,1.8791658878326416,-2.9704818725585938,0.0527399443089962,0.06315439194440842,-0.013445147313177586,0.008447199128568172,0.0,0.0
1660199454995647573,0,1.8791658878326416,-2.9704818725585938,0.0527399443089962,0.06315439194440842,-0.013445147313177586,0.008447199128568172,0.0,0.0
1660199455005336342,0,1.8787806034088135,-2.9706573486328125,0.05258425325155258,0.06102599948644638,-0.014657544903457165,-0.0010354748228564858,0.0,0.0
1660199455015536976,0,1.879059910774231,-2.9707541465759277,0.052747249603271484,0.061219826340675354,-0.014710941351950169,0.0011113571235910058,0.0,0.0
1660199455025334388,0,1.879059910774231,-2.9707541465759277,0.052747249603271484,0.061219826340675354,-0.014710941351950169,0.0011113571235910058,0.0,0.0
1660199455035319640,0,1.8792933225631714,-2.970914363861084,0.053083986043930054,0.060866642743349075,-0.015511052682995796,0.017905863001942635,0.0,0.0
