,X,Y,Psi,vx,vy,r,throttle,steering,dvx,dvy,dr
6846,-3.964741726324878,1.3103090908149744,0.37177451751242685,2.342373396916972,-0.012118369977135002,0.618476328466699,0.1870000064373016,-0.0199999995529651,-0.5021095516955847,-1.9882964515596453,-4.834226258795992
6847,-3.94417810248456,1.318750681131391,0.37793924570834425,2.3349810989048914,-0.03630364016789778,0.5661182167063029,0.1870000064373016,0.0,-0.8851182692900449,-2.895828125242871,-6.269108900766947
6848,-3.923499936914081,1.3271489860872463,0.38375959301122264,2.324891177648232,-0.042453817955045325,0.3556799371408883,0.1889999955892563,0.0,-0.9159500979102191,-0.5583052437188435,-19.103316851435967
6849,-3.9029190747120777,1.3357024558475534,0.38936256250734624,2.325075292976337,-0.03735650451030881,0.3403714293476259,0.1889999955892563,0.0,0.020084501488737177,0.5560482145793616,-1.6699519302874297
6850,-3.882490582153699,1.3442883967513088,0.39377960724119127,2.3219824436344747,-0.043060332696030934,0.43505221996304494,0.1930000036954879,0.0,-0.16253803666571473,-0.29975240702400985,4.975745054339332
6851,-3.861547827211076,1.3528005532187526,0.3965655431994008,2.3260189071366306,-0.05725178402062581,0.15715482240237494,0.1930000036954879,0.0,1.8842871957668712,-6.624801637869484,-129.7270513361078
6852,-3.841742467431733,1.3613608819409602,0.39842611417330803,2.3178446670348483,-0.08049303250347661,0.07516448524654129,0.1949999928474426,0.0160000007599592,-0.9601812640451879,-2.7300166215311106,-9.630936281479388
6853,-3.82106415465294,1.369817610847297,0.39950728094521987,2.3234751879173823,-0.0819159017105644,0.041620948203493754,0.1959999948740005,0.050000000745058,0.5525260254478008,-0.13962691625263282,-3.291645229369089
6854,-3.810285015509887,1.3739269004700954,0.3996575417303957,2.3224809003358353,-0.08443686830409325,0.052805546225867764,0.1959999948740005,0.050000000745058,-0.08475053356910237,-0.2148807526883124,0.9533465646602319
6855,-3.7795749577022426,1.3868508051096755,0.4003362673464495,2.320414949737939,-0.08404088001473953,-0.0019223950719853419,0.1979999989271164,0.1000000014901161,-0.25263510436444087,0.04842349227025968,-6.6924151891688
6856,-3.75881592116502,1.3954139108638826,0.40048653382611693,2.312550583484541,-0.06540332755286515,0.026857312257539446,0.1979999989271164,0.1000000014901161,-0.6553287943593289,1.5530462838466785,2.3981806414627473
6857,-3.73815104954192,1.4040708268885391,0.4002979958862743,2.3114989404112363,-0.046750146650765045,0.048899018665974604,0.2000000029802322,0.1299999952316284,-0.13293980666175376,2.3579770795802415,2.7863257628126816
6858,-3.7176926368184273,1.412892564069353,0.4010410908610849,2.310113191635253,-0.05038825767964872,0.0320656263801903,0.2039999961853027,0.2300000041723251,-0.10871472571647901,-0.2854169886244382,-1.3206128390250476
6859,-3.7069325535414768,1.4171797149344183,0.40126962092356233,2.3133868798457327,-0.06220193493107007,0.005287734515190253,0.209999993443489,0.2899999916553497,0.2443588675209042,-0.8818117697261397,-1.998790022147415
6860,-3.6733284107639768,1.43069577581796,0.4016456494791411,2.3061967488660846,-0.10628831790935156,-0.06505263152212554,0.2129999995231628,0.3420000076293945,-1.3076303441183978,-8.017752709651973,-12.792423018042387
6861,-3.656883747390232,1.4380990174491624,0.4014678233661482,2.286229401510981,-0.09796436928554675,-0.7605413019724293,0.2129999995231628,0.3420000076293945,-0.8240961640018026,0.34354759338987945,-28.704340903766205
6862,-3.646015520496543,1.442174078528822,0.4009104465808141,2.2783511423272453,-0.11015356493620487,-0.19134473830930507,0.2179999947547912,0.3860000073909759,-175.11133993633334,-270.9312213971577,12651.623997846727
6863,-3.616265390101016,1.4540531587117849,0.39821538141746526,2.2689485274125722,-0.10386119111588799,-0.36208149486697705,0.2189999967813491,0.421999990940094,-2.1973685917599837,1.470512695229084,-39.90077119220646
